crate,dir_name,source,repository,commit,submodules,feature_label,workspace_pathway,local_edits,source_present
aho-corasick,aho-corasick,git,https://github.com/BurntSushi/aho-corasick,948d2e1f8e4b6b0aff13075176922e158c8bed46,,default,,patch+untracked,yes
arbitrary,arbitrary,git,https://github.com/rust-fuzz/arbitrary,334351140a0dcea63bc28dd5c57fab19762f6b1d,,workspace/all-features,arbitrary/tests,untracked,yes
arc-swap,arc-swap,git,https://github.com/vorner/arc-swap,b2b595506b36f31f622f545010774c756866742c,,default,,patch+untracked,yes
arrayvec,arrayvec,git,https://github.com/bluss/arrayvec,0aede877fe0bfb1ba5e3c2024df8c0958d503a83,,all-features,,patch+untracked,yes
async-lock,async-lock,git,https://github.com/smol-rs/async-lock,cc249b2d31590a6e97616a351032747f3e19bc87,,default,,patch+untracked,yes
async-std,async-std,git,https://github.com/async-rs/async-std,96f564672a8588ac0516e86580c249009ad3e94f,,default,,patch+untracked,yes
async-task,async-task,git,https://github.com/smol-rs/async-task,3065c372e1ef1611230195ad7f3aae80ffde8261,,default,,patch+untracked,yes
bimap,bimap,git,https://github.com/billyrieger/bimap-rs/,3dca651620845a939ee9e5393c0a8fe9fe0a1656,,all-features,,patch+untracked,yes
borsh,borsh-rs,git,https://github.com/near/borsh-rs,abb9582c70b2afd54eef302c23b6e6d3a0b2c1c4,,workspace/default,"borsh-rs/borsh, borsh-rs/borsh/tests",patch+untracked,yes
brotli-decompressor,brotli-decompressor,git,https://github.com/dropbox/rust-brotli-decompressor,a91c112180789502cdb9bf9e87f9546dd9a970fd,,default,,patch+untracked,yes
bstr,bstr,git,https://github.com/BurntSushi/bstr,8904072067fca9ca993f7234a2dacad1c362afa7,,workspace/default,bstr/tests,untracked,yes
bytemuck,bytemuck,git,https://github.com/Lokathor/bytemuck,028ff3bec68ab9c123dc578b74a7af4a72a37609,,default,,patch+untracked,yes
byteorder,byteorder,git,https://github.com/BurntSushi/byteorder,5a82625fae462e8ba64cec8146b24a372b4d75c6,,default,,patch+untracked,yes
cc,cc-rs,git,https://github.com/rust-lang/cc-rs,0342d854e1823db9e903c93cea82adaf1e00af33,,workspace/default,cc-rs/tests,untracked,yes
chrono,chrono,git,https://github.com/chronotope/chrono,d1de1d95ead4e59472622761ad545dc4a940992b,,default,,patch+untracked,yes
clru,clru,git,https://github.com/marmeladema/clru-rs,95928ef41914403fb8e831deca904341fc579b61,,default,,patch+untracked,yes
colored,colored,git,https://github.com/mackwic/colored,95b2de80ba35b6d2be2f876a746d27da58a73945,,default,,patch+untracked,yes
combine,combine,git,https://github.com/Marwes/combine,c6eb5d32c89d1828bd3fdc503b1a776dc55b0173,,all-features,,patch+untracked,yes
cpp_demangle,cpp_demangle,git,https://github.com/gimli-rs/cpp_demangle,15bbde1af70bdb588382fc38a24997575c7b28c9,,default,,patch+untracked,yes
cssparser,cssparser,git,https://github.com/servo/rust-cssparser,3dd4f63639925438d9932dafc0d81395847f9be4,,workspace/default,cssparser/tests,patch+untracked,yes
curl,curl,git,https://github.com/alexcrichton/curl-rust,055ef1b635d0c1aaf55f1a68fd7e1db9b6cd7e7b,curl-sys/curl,primary-only/default,curl/tests,patch+untracked,yes
dashmap,dashmap,git,https://github.com/xacrimon/dashmap,f2d248eb59fe4a06decd8b54a4365ef41400b73c,,all-features,,patch+untracked,yes
deranged,deranged,git,https://github.com/jhpratt/deranged,94631377ec404d14ed0f2b05a2ead06f31caac03,,workspace/all-features,"deranged/deranged, deranged/deranged/tests",patch+untracked,yes
dlv-list,dlv-list,git,https://github.com/sgodwincs/dlv-list-rs,422548ddd5398399a19290cafccca23da0d6b3a7,,default,,patch+untracked,yes
ego-tree,ego-tree,git,https://github.com/rust-scraper/ego-tree,a38b9c42cbf06049b2cc1859bfbf9d5895e4b018,,all-features,,patch+untracked,yes
encoding_rs,encoding_rs,git,https://github.com/hsivonen/encoding_rs,d823a51a81c91ff9b1611cb70859464115bd7c1d,,default,,patch+untracked,yes
filetime,filetime,git,https://github.com/alexcrichton/filetime,f5241bc462e2a605c9ef3cef40996431b67e79f5,,default,,patch+untracked,yes
