crate,variant,total_cycles,external_cycles,internal_cycles,internal_unsafe_cycles,whole_program_unsafe_cycles,internal_unsafe_pct,whole_program_unsafe_pct,reported_unsafe_pct
aho-corasick,without_native,63308022844,22645865061,40662157784,27029411283,28741404893,66.4731,45.3993,66.4731
arbitrary,without_native,13116684110,10776186860,2340497250,929952870,929973510,39.7331,7.0900,39.7331
arc-swap,without_native,42523245948,15972060624,26551185324,2533593602,14007680534,9.5423,32.9412,9.5423
arrayvec,without_native,2461132851,1320774477,1140358374,775154324,775154324,67.9746,31.4958,67.9746
async-lock,without_native,35837470358,34813480485,1023989873,123875291,158597484,12.0973,0.4425,12.0973
async-std,without_native,192822569841,5514934193,187307635648,158691209,13240791436,0.0847,6.8668,0.0847
async-task,without_native,68567928706,43843872332,24724056374,153040736,153178987,0.6190,0.2234,0.6190
bimap,without_native,16669583,7835715,8833868,1094480,1130281,12.3896,6.7805,12.3896
borsh-rs,without_native,681899839,659884505,22015334,66271,67135,0.3010,0.0098,0.3010
brotli-decompressor,without_native,6154811541,6105998378,48813163,26376641,26376641,54.0359,0.4286,54.0359
bstr,without_native,38399245131,28153982727,10245262404,10079870661,10087579527,98.3857,26.2703,98.3857
bytemuck,without_native,27822897,17489405,10333491,176134,176134,1.7045,0.6331,1.7045
byteorder,without_native,68689370,55991858,12697512,2566409,2566409,20.2119,3.7363,20.2119
bytes,without_native,985556766,510779896,474776870,1899255,1901581,0.4000,0.1929,0.4000
cc-rs,without_native,6584983021,3045094126,3539888895,53434930,80839791,1.5095,1.2276,1.5095
chrono,without_native,159793813383,144451017877,15342795506,636855266,636872360,4.1508,0.3986,4.1508
clru,without_native,197009312,94489500,102519812,43634659,59665228,42.5622,30.2855,42.5622
colored,without_native,2429772477,7798878,2421973599,496583,1543944,0.0205,0.0635,0.0205
combine,without_native,24374164137,2571973066,21802191071,771242650,911461502,3.5375,3.7395,3.5375
cpp_demangle,without_native,40633864345,31524819670,9109044675,954887081,954910713,10.4828,2.3500,10.4828
cssparser,without_native,4805968673,2386796953,2419171720,1048821326,1050416686,43.3546,21.8565,43.3546
curl,without_native,1518404810,942281440,576123370,38425872,304813961,6.6697,20.0746,6.6697
dashmap,without_native,223211240,77282691,145928548,39265955,50140526,26.9077,22.4633,26.9077
deranged,without_native,26148819,16960889,9187930,2595971,2816453,28.2541,10.7709,28.2541
dlv-list,without_native,10836122,6769017,4067105,16138,16752,0.3968,0.1546,0.3968
ego-tree,without_native,27467018,18931244,8535774,185711,185711,2.1757,0.6761,2.1757
encoding_rs,without_native,5369585312,3541423336,1828161977,1700428413,1700428413,93.0130,31.6678,93.0130
filetime,without_native,17971631,12226945,5744686,43873,87931,0.7637,0.4893,0.7637
fixedbitset,without_native,239965131,114856858,125108273,35433910,35433910,28.3226,14.7663,28.3226
flate2,without_native,7108670546,401011143,6707659403,951485893,1684208406,14.1851,23.6923,14.1851
fragile,without_native,44840188,26859063,17981125,462952,971220,2.5747,2.1660,2.5747
fs4,without_native,880913348,86450723,794462625,936243,23227555,0.1178,2.6368,0.1178
getrandom,without_native,101021937,52755584,48266352,26378649,26501704,54.6523,26.2336,54.6523
gimli,without_native,4455673011,3007896002,1447777009,654125976,655084221,45.1814,14.7023,45.1814
git2,without_native,5878344320,4973586796,904757524,877207,341360560,0.0970,5.8071,0.0970
h2,without_native,14737155954,10305077923,4432078031,1387439554,1417445101,31.3045,9.6182,31.3045
hashbrown,without_native,139259463038,69927967829,69331495209,33700100337,33701242230,48.6072,24.2003,48.6072
hashlink,without_native,72706622,34392158,38314464,14532940,14656995,37.9307,20.1591,37.9307
headers,without_native,28460191,17869360,10590831,50275,52724,0.4747,0.1853,0.4747
http,without_native,14811816795,9355855162,5455961633,4944111114,4971413166,90.6185,33.5638,90.6185
http-body,without_native,21469435,13503343,7966091,182131,182131,2.2863,0.8483,2.2863
httparse,without_native,128962613750,85544848979,43417764771,24461010022,24461018752,56.3387,18.9675,56.3387
imgref,without_native,273924259,209262386,64661873,62042296,62047321,95.9488,22.6513,95.9488
indexmap,without_native,15693381994,6757637336,8935744657,6438463472,6584365265,72.0529,41.9563,72.0529
iri-string,without_native,433873223,283854193,150019030,65414786,65432193,43.6043,15.0809,43.6043
jni,without_native,379287198837,13331058766,365956140072,1718347276,1914877893,0.4696,0.5049,0.4696
jpeg-decoder,without_native,3651927878323,23861041438,3628066836886,236924599751,237785996021,6.5303,6.5112,6.5303
lexical-core,without_native,6060372,4427896,1632476,10848,10848,0.6645,0.1790,0.6645
libsecp256k1,without_native,650506444,594228726,56277718,1957921,3214963,3.4790,0.4942,3.4790
log,without_native,197758066,100650513,97107553,28276426,28300252,29.1187,14.3105,29.1187
loom,without_native,14279112537,6877846651,7401265886,4611089,14975377,0.0623,0.1049,0.0623
