crate,variant,total_cycles,external_cycles,internal_cycles,internal_unsafe_cycles,whole_program_unsafe_cycles,internal_unsafe_pct,whole_program_unsafe_pct,reported_unsafe_pct
aho-corasick,without_native,61418924948,21957012241,39461912707,26164802755,27826177076,66.3039,45.3055,45.3055
arbitrary,without_native,12544243954,10685305833,1858938121,803659935,803678016,43.2322,6.4067,6.4067
arc-swap,without_native,51066447533,14675123309,36391324225,4105793212,15540059725,11.2823,30.4311,30.4311
arrayvec,without_native,2578305893,1334592634,1243713259,781007385,781007608,62.7964,30.2915,30.2915
async-lock,without_native,35974615546,34958479551,1016135995,121999830,156027713,12.0063,0.4337,0.4337
async-std,without_native,192939003757,7080356912,185858646845,360332916,13304885814,0.1939,6.8959,6.8959
async-task,without_native,68875568534,44102593279,24772975255,146266039,146417450,0.5904,0.2126,0.2126
bimap,without_native,13856027,7563123,6292904,662867,694010,10.5336,5.0087,5.0087
borsh-rs,without_native,771376143,761084788,10291356,288806,291472,2.8063,0.0378,0.0378
brotli-decompressor,without_native,5998645760,5944428975,54216785,26713277,26713277,49.2712,0.4453,0.4453
bstr,without_native,39122044546,27813652275,11308392272,9865124695,9871862210,87.2372,25.2335,25.2335
bytemuck,without_native,31775427,20511357,11264070,122316,122316,1.0859,0.3849,0.3849
byteorder,without_native,91938688,41074887,50863801,0,0,0.0000,0.0000,0.0000
bytes,without_native,964383875,499838544,464545332,1846092,1847900,0.3974,0.1916,0.1916
cc-rs,without_native,6835623213,3146701265,3688921949,52538527,80357227,1.4242,1.1756,1.1756
chrono,without_native,163980311008,148329070922,15651240087,629400653,629421332,4.0214,0.3838,0.3838
clru,without_native,199328408,96610556,102717852,44344653,60679913,43.1713,30.4422,30.4422
colored,without_native,2648798528,7704317,2641094212,5840910,6175614,0.2212,0.2331,0.2331
combine,without_native,24395407994,1866740865,22528667129,795302757,1007395227,3.5302,4.1294,4.1294
cpp_demangle,without_native,40458365308,31487460664,8970904644,934735463,934749044,10.4196,2.3104,2.3104
cssparser,without_native,4707163788,2337651754,2369512034,1024985093,1026543167,43.2572,21.8081,21.8081
curl,without_native,1479998981,957036347,522962634,185017118,383455468,35.3786,25.9092,25.9092
dashmap,without_native,251157128,67330024,183827105,39922574,46396891,21.7175,18.4733,18.4733
deranged,without_native,34309942,18435289,15874653,2529919,2954940,15.9368,8.6125,8.6125
dlv-list,without_native,42877171,8316041,34561130,53777,55276,0.1556,0.1289,0.1289
ego-tree,without_native,33201669,20471861,12729808,122440,122440,0.9618,0.3688,0.3688
encoding_rs,without_native,5273720222,3470442789,1803277434,1678460412,1678460412,93.0783,31.8269,31.8269
filetime,without_native,19285507,13850293,5435214,31067,87323,0.5716,0.4528,0.4528
fixedbitset,without_native,235935992,113064339,122871652,34480362,34480362,28.0621,14.6143,14.6143
flate2,without_native,10919188797,792502183,10126686614,4489906790,5223632186,44.3374,47.8390,47.8390
fragile,without_native,55284845,26685892,28598953,285851,682632,0.9995,1.2348,1.2348
fs4,without_native,1446562275,132422944,1314139331,2522285,145858641,0.1919,10.0831,10.0831
getrandom,without_native,101012447,52279743,48732704,29363974,29441574,60.2552,29.1465,29.1465
gimli,without_native,4311304099,2906577967,1404726132,634855176,635794520,45.1942,14.7472,14.7472
git2,without_native,5182272180,4016943184,1165328996,914904,684362396,0.0785,13.2058,13.2058
h2,without_native,38903155066,20278776974,18624378092,13379057514,13666237677,71.8363,35.1289,35.1289
hashbrown,without_native,135272267743,67966508208,67305759535,32732747440,32733998607,48.6329,24.1986,24.1986
hashlink,without_native,63698192,31775871,31922321,12961367,13058780,40.6028,20.5010,20.5010
headers,without_native,20280708,16390741,3889967,54034,60266,1.3891,0.2972,0.2972
http,without_native,20878487001,12877742461,8000744540,7409602966,7438890575,92.6114,35.6295,35.6295
http-body,without_native,19711465,13461143,6250322,85473,203723,1.3675,1.0335,1.0335
httparse,without_native,129356753327,85817869954,43538883372,24543285109,24543288543,56.3710,18.9733,18.9733
imgref,without_native,287566888,219428894,68137994,65203069,65209093,95.6927,22.6761,22.6761
indexmap,without_native,15575188434,6889117410,8686071025,6337240749,6478249175,72.9587,41.5934,41.5934
iri-string,without_native,666302197,327612109,338690088,228955149,262042135,67.6002,39.3278,39.3278
