crate,variant,total_heap_usage,total_heap_allocations,total_heap_reallocations,total_heap_deallocations,unsafe_heap_memory,unsafe_heap_objects,unsafe_load,unsafe_store,unsafe_heap_memory_pct,obj_small_pct,obj_medium_pct,obj_large_pct,obj_total_pct,mem_small_pct,mem_medium_pct,mem_large_pct,mem_total_pct,mem_inst_pct
aho-corasick,without_native,3238451704,24279769,1208377,24279769,470664555,3414357,12269298,980,14.5336,13.8304,0.1162,0.0000,13.3959,13.8304,0.0913,0.0000,12.3051,0.4322
arbitrary,without_native,135371389,2032426,1440,2032426,4640,10,126,343,0.0034,0.0005,0.0000,0.0000,0.0005,0.0005,0.0000,0.0000,0.0005,0.0003
arc-swap,without_native,353896049,189204,4184,189133,264264,6467,33255451,0,0.0747,5.0687,0.0000,0.0000,3.3441,5.0687,0.0000,0.0000,0.9316,2.6826
arrayvec,without_native,399393,2875,257,2875,116,1,2,2,0.0290,0.0325,0.0000,0.0000,0.0319,0.0325,0.0000,0.0000,0.0270,0.0000
async-lock,without_native,2313331,26604,797,26595,361032,6447,12611,12611,15.6066,23.7739,0.0000,0.0000,23.5283,23.7739,0.0000,0.0000,21.8542,1.2268
async-std,without_native,39898894,120230,1947,106849,18361912,71995,591644,409798,46.0211,59.8920,0.0000,0.0000,58.9268,59.8920,0.0000,0.0000,49.0640,1.6580
async-task,without_native,6443054,10242,534,10235,71664,109,1245436,1245310,1.1123,1.0036,1.0603,0.0000,1.0115,1.0036,1.0237,0.0000,1.0137,12.4478
bimap,without_native,253018,2148,168,2148,14512,59,370,642,5.7356,2.4186,9.5238,0.0000,2.5475,2.4186,5.9701,0.0000,2.9522,0.6301
borsh-rs,without_native,16336449,196421,5244,196272,8816,34,236,236,0.0540,0.0169,0.0000,0.0000,0.0169,0.0169,0.0000,0.0000,0.0153,0.7163
brotli-decompressor,without_native,333168554,8052,702,8052,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
bstr,without_native,46489840,129250,86796,129169,24331572,47248,54242311,0,52.3374,21.1507,83.5341,0.0000,21.8694,21.1507,68.4090,0.0000,22.8237,5.5503
bytemuck,without_native,892270,7949,453,7949,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
byteorder,without_native,5156613,115581,52001,115581,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
bytes,without_native,6404022,98666,1634,98666,374544,10638,40762,0,5.8486,10.6433,0.0000,0.0000,10.6062,10.6433,0.0000,0.0000,10.2602,2.2311
cc-rs,without_native,9726669,71405,23849,71405,266588,668,45447,13394,2.7408,0.6296,5.5476,0.0000,0.7013,0.6296,2.4229,0.0000,0.7950,2.9746
chrono,without_native,35973454,1003780,789954,1003776,65536,16,5373952,5373952,0.1822,0.0000,2.3055,0.0000,0.0009,0.0000,2.0075,0.0000,0.0053,12.4984
clru,without_native,231080,1451,192,1451,33036,170,42880,63876,14.2963,10.2500,13.9535,0.0000,10.3469,10.2500,10.0719,0.0000,10.2132,1.4492
colored,without_native,69925,609,31,609,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
combine,without_native,1023104,8501,665,8501,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
cpp_demangle,without_native,631995496,1630413,1211992,1630409,65536,16,8060928,8060928,0.0104,0.0000,0.0081,0.0000,0.0006,0.0000,0.0117,0.0000,0.0028,12.4984
cssparser,without_native,8190729,41455,2257,41455,2121148,13,1624,2099648,25.8969,0.0138,2.7149,9.0909,0.0297,0.0138,2.0106,21.6216,5.1798,1.3317
curl,without_native,6449192,23609,1979,23550,41092,220,14047,1358,0.6372,0.8769,0.0000,0.0000,0.8598,0.8769,0.0000,0.0000,0.6208,0.3750
dashmap,without_native,2863619,15844,717,15844,1408056,2931,36137,6277,49.1705,17.5454,25.8170,0.0000,17.6982,17.5454,49.3750,0.0000,23.6278,1.8846
deranged,without_native,294550,2507,223,2507,76,2,12,15,0.0258,0.0746,0.0000,0.0000,0.0733,0.0746,0.0000,0.0000,0.0631,0.0326
dlv-list,without_native,244699,1653,322,1653,1676,11,34,28,0.6849,0.5658,0.0000,0.0000,0.5570,0.5658,0.0000,0.0000,0.4578,0.9736
ego-tree,without_native,744110,6258,611,6258,15872,82,36,194,2.1330,1.2202,0.0000,0.0000,1.1938,1.2202,0.0000,0.0000,1.0465,1.9454
encoding_rs,without_native,32266812,173476,67080,173476,27788772,113141,6791502,900297,86.1218,47.0445,26.8116,66.6667,47.0331,47.0445,36.8247,66.6667,47.0232,2.6010
filetime,without_native,163329,1386,129,1386,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
fixedbitset,without_native,1100056,5418,2466,5418,132576,143,479228,0,12.0518,1.7604,11.1111,0.0000,1.8138,1.7604,34.0000,0.0000,4.0526,4.1192
flate2,without_native,293297975,11833,3523,11829,65536,16,8060928,8060928,0.0223,0.0000,0.3040,0.0000,0.1042,0.0000,0.0194,0.0000,0.0148,12.4956
fragile,without_native,778414,6776,460,6775,4436,47,134,158,0.5699,0.6620,0.0000,0.0000,0.6495,0.6620,0.0000,0.0000,0.5712,0.5640
fs4,without_native,105111,889,161,889,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
getrandom,without_native,1966078,18993,737,18993,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
gimli,without_native,86451789,356604,78463,356604,13679056,6032,491969,509839,15.8228,1.0773,26.2979,10.2041,1.3865,1.0773,12.5356,31.7949,6.5148,1.1330
git2,without_native,1439274,23161,2180,23155,1064,24,58,16,0.0739,0.0953,0.0000,0.0000,0.0947,0.0953,0.0000,0.0000,0.0886,0.0655
h2,without_native,3381388873,7145707,278965,7145704,24175456,1911,1054524,0,0.7150,0.0051,1.6545,45.0450,0.0257,0.0051,0.4275,25.5754,0.4857,0.3286
hashbrown,without_native,102731077,144502,794,144502,832772,368,447535,795973,0.8106,0.2144,24.3478,8.3333,0.2533,0.2144,38.1245,0.4464,0.8529,0.0296
hashlink,without_native,441674,4304,260,4304,30136,706,24516,27993,6.8231,15.7025,3.4483,0.0000,15.4689,15.7025,1.3514,0.0000,13.8441,2.8437
headers,without_native,757138,5515,659,5515,86472,196,606,0,11.4209,3.2343,0.0000,0.0000,3.1746,3.2343,0.0000,0.0000,2.7290,11.7807
http,without_native,270117425,1444223,19567,1444218,151983112,915697,6596702,33384,56.2656,62.1187,92.4845,0.0000,62.5566,62.1187,71.0941,0.0000,55.3309,2.0795
http-body,without_native,1582139,4599,312,4599,7904,13,165,0,0.4996,0.2497,0.9524,0.0000,0.2647,0.2497,0.3788,0.0000,0.2103,11.5546
httparse,without_native,766282133,34101947,65967440,34101947,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
imgref,without_native,3871272,1290,993,1290,784,7,27,37,0.0203,0.3928,0.0000,0.0000,0.3066,0.3928,0.0000,0.0000,0.0635,0.0010
indexmap,without_native,77874739,242277,129896,242277,26216880,39901,3465773,4882556,33.6654,8.2042,44.7676,0.0000,10.7211,8.2042,40.0841,0.0000,16.2899,1.2226
iri-string,without_native,6739136,19690,7434,19690,65536,16,196608,196608,0.9725,0.0000,1.0343,0.0000,0.0590,0.0000,0.9904,0.0000,0.2722,12.4935
jni,without_native,3990747,38116,1756,38116,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
jpeg-decoder,without_native,6657184464,101999,2665,76765,618120,7276,50287,22376,0.0093,9.8417,0.0000,0.0000,6.9518,9.8417,0.0000,0.0000,0.1414,0.0048
lexical-core,without_native,293408,2907,123,2907,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
libsecp256k1,without_native,44589937,8226,2110,8226,620,2,14,14,0.0014,0.0197,0.0000,0.0000,0.0193,0.0197,0.0000,0.0000,0.0019,0.0214
log,without_native,5692598,3353,144,3353,65536,16,196608,196608,1.1512,0.0000,1.1586,0.0000,0.4575,0.0000,1.1457,0.0000,0.9147,12.4973
loom,without_native,242064106,842299,11154,840678,12334201,94995,2919991,441043,5.0954,11.1230,16.8774,1.4815,11.1307,11.1230,4.7181,1.4815,7.8806,2.0772
matrixmultiply,without_native,363898464,11818,169,11818,82439744,5410,523232,673564,22.6546,32.2928,60.7290,42.2481,45.1322,32.2928,59.9682,16.8687,30.6840,0.0528
memchr,without_native,10594022397,275901786,756965,275901786,7814660752,224438910,1149418136,124066,73.7648,81.1267,9.9889,0.0000,81.1248,81.1267,0.6981,0.0000,80.9692,2.4186
memmap2,without_native,134762,952,176,952,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
metrics,without_native,1929049,14586,1733,14570,68584,180,2882,36,3.5553,1.1144,0.3891,0.0000,1.1030,1.1144,0.4420,0.0000,1.0172,4.3719
miette,without_native,2356265,20246,1476,20239,7592,104,445,56,0.3222,0.4883,0.0000,0.0000,0.4788,0.4883,0.0000,0.0000,0.4248,2.9946
msgpack-rust,without_native,6080793,7180,995,7177,65536,16,196608,196608,1.0778,0.0000,1.1412,0.0000,0.1957,0.0000,1.0506,0.0000,0.6034,12.4973
native-tls,without_native,6373268,6061,1542,6005,65928,28,1441802,1441794,1.0344,0.1935,1.1437,0.0000,0.3683,0.1935,1.0593,0.0000,0.6579,12.4454
ndarray,without_native,696827275,62942,15443,62942,112742244,5174,450130,16664675,16.1794,5.2233,16.2475,10.9715,6.6008,5.2233,14.1399,14.6094,14.0991,0.2893
nom,without_native,43891891,100145,21761,100144,7456,26,222,132,0.0170,0.0214,0.0209,0.0000,0.0213,0.0214,0.0047,0.0000,0.0125,0.7858
nu-ansi-term,without_native,6318842,9042,926,9042,65536,16,196608,196608,1.0372,0.0000,1.0907,0.0000,0.1605,0.0000,1.0233,0.0000,0.5369,12.4973
num-bigint,without_native,186926266,7796056,143382,7796052,65536,16,8060928,8060928,0.0351,0.0000,0.3668,0.0000,0.0002,0.0000,0.3278,0.0000,0.0012,12.4984
ordered-float,without_native,797274,4190,368,4190,294944,2,40000,60000,36.9941,0.0000,0.0000,100.0000,0.0439,0.0000,0.0000,100.0000,12.7723,1.1432
ordered-multimap,without_native,347045,1976,433,1976,25404,99,385,372,7.3201,4.1649,0.0000,0.0000,4.1096,4.1649,0.0000,0.0000,3.4327,0.3552
os_info,without_native,5876085,5127,505,5127,65536,16,196608,196608,1.1153,0.0000,1.1519,0.0000,0.2841,0.0000,1.1027,0.0000,0.7414,12.4973
ouroboros,without_native,5578699,2493,48,2493,65536,16,196608,196608,1.1748,0.0000,1.1826,0.0000,0.6297,0.0000,1.1756,0.0000,1.0263,12.4973
parity-scale-codec,without_native,593703140,3013555,3768,3013552,64,2,333328,333328,0.0000,0.0001,0.0000,0.0000,0.0001,0.0001,0.0000,0.0000,0.0000,0.1713
parking_lot,without_native,47261409,13110,1159,13070,133376,20,47636104,19178108,0.2822,0.0793,2.6706,0.0000,0.1402,0.0793,2.2971,0.0000,0.1495,2.0807
petgraph,without_native,11853940,89752,6125,89752,696084,1486,105124,88559,5.8722,1.4968,6.9149,0.0000,1.5499,1.4968,8.5001,0.0000,2.0845,1.3259
pin-project-lite,without_native,20740534,253888,11758,253881,65536,16,196608,196608,0.3160,0.0000,1.5564,0.0000,0.0060,0.0000,1.4159,0.0000,0.0346,12.4964
polling,without_native,1889500,14090,657,14083,2096,3,103,0,0.1109,0.0138,0.3546,0.0000,0.0203,0.0138,0.1062,0.0000,0.0289,0.0334
portable-atomic,without_native,447223876,3362760,3628,3362760,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
postcard,without_native,390786,3357,226,3357,223,26,106,0,0.0571,0.7399,0.0000,0.0000,0.7256,0.7399,0.0000,0.0000,0.6279,0.2210
pulldown-cmark,without_native,26124900,37592,9659,37592,87580,247,2461,919,0.3352,0.5509,0.1016,0.0000,0.5227,0.5509,0.0412,0.0000,0.2644,0.7750
rand,without_native,2542427,49787,741,49787,12912,19,2922,4383,0.5079,0.0318,1.6129,0.0000,0.0376,0.0318,1.4925,0.0000,0.0825,1.6147
rayon-core,without_native,41843343,109132,4318,93325,16816512,16926,5701157,10465266,40.1892,8.5678,51.9238,0.0000,14.9246,8.5678,39.0881,0.0000,21.0626,2.6857
rgb,without_native,1579399,13264,820,13264,68,1,2,2,0.0043,0.0072,0.0000,0.0000,0.0071,0.0072,0.0000,0.0000,0.0062,0.1672
ring,without_native,36554357,198757,9391,198757,38960,244,264,0,0.1066,0.1189,0.0000,0.0000,0.1172,0.1189,0.0000,0.0000,0.0990,0.0023
rmp,without_native,5955528,5914,906,5911,65536,16,196608,196608,1.1004,0.0000,1.1586,0.0000,0.2346,0.0000,1.0699,0.0000,0.6661,12.4973
ron,without_native,5597853,50126,4779,50120,10368,54,257,286,0.1852,0.1000,0.0000,0.0000,0.0984,0.1000,0.0000,0.0000,0.0868,0.6484
rust-openssl,without_native,1671252,9055,1780,9051,6120,149,426,208,0.3662,1.3943,0.0000,0.0000,1.3752,1.3943,0.0000,0.0000,1.0447,0.0009
rustc-demangle,without_native,5242221,3129,584,3129,65536,16,458752,458752,1.2502,0.0000,2.2923,0.0000,0.4309,0.0000,1.7316,0.0000,0.6708,12.4980
scroll,without_native,450219,3646,331,3646,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
semver,without_native,17261925,4016,302,4016,11271645,449,3248,441,65.2977,10.5350,0.0000,66.6667,10.3983,10.5350,0.0000,66.6667,60.0360,1.8875
serde_with,without_native,9555122,97855,14672,97855,6212,52,242,368,0.0650,0.0456,0.1661,0.0000,0.0462,0.0456,0.0255,0.0000,0.0414,0.2129
serde_yaml,without_native,34138498,42262,1118,42262,251824,1216,34583,1167,0.7377,2.9164,0.1147,0.0000,2.8031,2.9164,0.0082,0.0000,1.0184,1.7308
sharded-slab,without_native,1258333344,1298737,26059,1298732,3365028,4575,149503,137148,0.2674,0.2888,5.8367,0.1988,0.3453,0.2888,1.3045,0.0165,0.1871,0.2302
signal-hook,without_native,337971,2069,110,2054,2632,22,209,34,0.7788,1.0353,0.0000,0.0000,1.0096,1.0353,0.0000,0.0000,0.8445,0.8760
simdutf8,without_native,5359530,2846,1438,2846,4442584,626,2081,0,82.8913,8.8414,38.8821,0.0000,14.6125,8.8414,54.6475,0.0000,46.1674,0.0036
siphasher,without_native,1990662,8119,491,8119,112,4,132,0,0.0056,0.0473,0.0000,0.0000,0.0465,0.0473,0.0000,0.0000,0.0353,0.0121
