crate,variant,total_heap_usage,total_heap_allocations,total_heap_reallocations,total_heap_deallocations,unsafe_heap_memory,unsafe_heap_objects,unsafe_load,unsafe_store,unsafe_heap_memory_pct,obj_small_pct,obj_medium_pct,obj_large_pct,obj_total_pct,mem_small_pct,mem_medium_pct,mem_large_pct,mem_total_pct,mem_inst_pct
aho-corasick,without_native,3240677938,24282265,1212080,24280113,471115852,3415696,12281468,980,14.5376,13.8328,0.1160,50.0000,13.3979,13.8328,0.0911,50.0000,12.3052,0.8609
arbitrary,without_native,135475277,2033218,1513,2033218,4640,10,126,343,0.0034,0.0005,0.0000,0.0000,0.0005,0.0005,0.0000,0.0000,0.0005,0.0006
arc-swap,without_native,89382402,81587,4146,81518,5704,47,560393,0,0.0064,0.0560,0.0000,0.0000,0.0548,0.0560,0.0000,0.0000,0.0175,0.4938
arrayvec,without_native,1665331,4787,3077,3447,116,1,2,2,0.0070,0.0137,0.0000,0.0000,0.0127,0.0137,0.0000,0.0000,0.0081,0.0000
async-lock,without_native,2258013,25614,798,25614,306376,5471,10334,10334,13.5684,20.9384,0.0000,0.0000,20.7141,20.9384,0.0000,0.0000,19.1891,1.7919
async-std,without_native,38059596,117130,2205,102951,15981520,83083,990382,725833,41.9908,70.8984,0.0000,0.0000,69.6217,70.8984,0.0000,0.0000,55.5408,4.4954
async-task,without_native,7145896,10437,702,10376,71664,109,1245436,1245310,1.0029,0.9745,1.0025,0.0000,0.9785,0.9745,0.8034,0.0000,0.8794,12.4732
bimap,without_native,261840,2277,190,2274,15792,71,442,786,6.0312,2.7629,9.5238,0.0000,2.8780,2.7629,5.7971,0.0000,3.2054,1.8644
borsh-rs,without_native,16571534,196483,5283,196314,8816,34,236,236,0.0532,0.0169,0.0000,0.0000,0.0169,0.0169,0.0000,0.0000,0.0152,1.1588
brotli-decompressor,without_native,333413276,8115,746,8097,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
bstr,without_native,49959771,134025,92055,129835,24333527,47264,54300599,8,48.7062,20.2844,62.5940,0.0000,20.9059,20.2844,33.5685,0.0000,21.0461,11.0648
bytemuck,without_native,1355366,8084,548,8048,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
byteorder,without_native,5848087,115968,52801,115950,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
bytes,without_native,3895611,49406,969,49352,183400,5198,19897,0,4.7079,10.3684,0.0000,0.0000,10.3186,10.3684,0.0000,0.0000,9.5290,1.0909
cc-rs,without_native,12847110,73830,25023,73542,266588,668,45442,13394,2.0751,0.6084,4.4977,0.0000,0.6758,0.6084,1.1421,0.0000,0.7004,5.9469
chrono,without_native,36517776,1004920,790561,1004882,65536,16,5373952,5373952,0.1795,0.0000,2.1592,0.0000,0.0009,0.0000,1.4713,0.0000,0.0053,12.4984
clru,without_native,475281,1512,235,1494,33036,170,42880,63876,6.9508,9.7677,8.8235,0.0000,9.7310,9.7677,3.1674,0.0000,6.8552,2.8999
colored,without_native,2118448,7192,1684,6707,22888,42,443,462,1.0804,0.4545,1.0169,0.0000,0.4732,0.4545,0.1773,0.0000,0.3419,0.3344
combine,without_native,63617964,552160,134505,551563,1245694,3628,1690683,1719132,1.9581,0.5200,0.9712,0.0000,0.5284,0.5200,1.3793,0.0000,0.6096,4.9341
cpp_demangle,without_native,632283490,1630613,1212183,1630503,65536,16,8060928,8060928,0.0104,0.0000,0.0081,0.0000,0.0006,0.0000,0.0117,0.0000,0.0028,12.4984
cssparser,without_native,8181127,41454,2257,41454,2123184,43,1663,2099937,25.9522,0.0828,2.7273,9.0909,0.0984,0.0828,2.0277,21.6216,5.2315,2.6551
curl,without_native,6706427,23537,2062,23432,42812,224,73909,10044,0.6384,0.8901,0.1852,0.0000,0.8750,0.8901,0.0442,0.0000,0.6072,1.1872
dashmap,without_native,3182479,16432,736,16040,1497488,3092,49930,6871,47.0541,17.9240,21.7617,0.0000,18.0103,17.9240,45.8217,0.0000,23.6226,4.1199
deranged,without_native,402913,7664,376,7664,76,2,12,15,0.0189,0.0250,0.0000,0.0000,0.0249,0.0250,0.0000,0.0000,0.0235,0.0516
dlv-list,without_native,500702,1724,394,1706,1676,11,34,28,0.3347,0.5337,0.0000,0.0000,0.5194,0.5337,0.0000,0.0000,0.3205,1.9219
ego-tree,without_native,1450309,6479,742,6425,16608,85,36,203,1.1451,1.2138,0.0000,0.0000,1.1771,1.2138,0.0000,0.0000,0.7931,3.6494
encoding_rs,without_native,32265639,173473,67079,173473,27790180,113163,6791502,900297,86.1293,47.0544,26.8116,66.6667,47.0431,47.0544,36.8247,66.6667,47.0330,5.1997
filetime,without_native,153671,1385,129,1385,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
fixedbitset,without_native,1343189,5479,2508,5461,132576,143,479228,0,9.8702,1.7429,7.2464,0.0000,1.7904,1.7429,13.5458,0.0000,3.6290,8.2229
flate2,without_native,311219732,10319,3655,10299,216533160,2243,8072988,8111240,69.5757,9.8417,28.9421,83.2073,16.0512,9.8417,44.4106,74.6603,68.3234,3.9386
fragile,without_native,1022260,6847,520,6828,4436,47,134,158,0.4339,0.6529,0.0000,0.0000,0.6380,0.6529,0.0000,0.0000,0.5085,1.1267
fs4,without_native,2125036,4481,857,3727,152472,524,4777,1266,7.1750,10.1303,1.5385,0.0000,9.8164,10.1303,0.6776,0.0000,6.5761,2.7684
getrandom,without_native,1966246,18993,737,18993,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
gimli,without_native,86798516,356667,78507,356649,13679056,6032,491969,509839,15.7596,1.0771,26.1744,10.1010,1.3861,1.0771,12.3813,31.6327,6.4993,2.2483
git2,without_native,1982078,23252,2230,23222,1064,24,58,16,0.0537,0.0949,0.0000,0.0000,0.0942,0.0949,0.0000,0.0000,0.0820,0.1272
h2,without_native,3380687024,7143085,279161,7143082,42223632,758529,2647963,0,1.2490,10.3199,1.6576,45.0450,10.2197,10.3199,0.4191,25.5754,6.9952,0.1888
hashbrown,without_native,102987842,144573,865,144555,832772,368,447535,795973,0.8086,0.2142,21.8750,8.3333,0.2530,0.2142,30.1038,0.4464,0.8492,0.0594
hashlink,without_native,462707,4440,277,4440,31912,766,24930,28323,6.8968,16.4973,3.2609,0.0000,16.2391,16.4973,1.2821,0.0000,14.4922,5.6925
headers,without_native,747494,5514,659,5514,87528,240,702,0,11.7095,3.9604,0.0000,0.0000,3.8879,3.9604,0.0000,0.0000,3.3529,6.1337
http,without_native,270549619,1417444,22814,1417403,151860968,918788,8505708,33672,56.1305,63.3277,92.7052,0.0000,63.7933,63.3277,70.0359,0.0000,56.0929,2.2900
http-body,without_native,1591861,4600,312,4600,8048,19,182,0,0.5056,0.3746,0.9434,0.0000,0.3868,0.3746,0.3676,0.0000,0.2934,8.9041
httparse,without_native,766485902,34102005,65967479,34101987,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
imgref,without_native,3871278,1290,993,1290,784,7,27,37,0.0203,0.3928,0.0000,0.0000,0.3066,0.3928,0.0000,0.0000,0.0635,0.0020
indexmap,without_native,77960510,240787,129503,240751,26040036,39664,3425080,4829508,33.4016,8.1828,44.9523,0.0000,10.7116,8.1828,39.6730,0.0000,16.2165,2.3799
iri-string,without_native,6764115,20122,7451,20122,95560,1095,223605,196608,1.4127,4.1467,1.0309,0.0000,3.9713,4.1467,0.9867,0.0000,3.2867,4.9805
jni,without_native,49377053,2398798,1571405,2398046,21508,649,511035,3,0.0436,0.0164,0.0000,0.0000,0.0163,0.0164,0.0000,0.0000,0.0163,0.0656
jpeg-decoder,without_native,6659056779,102004,2664,76781,641192,7302,53511,22654,0.0096,9.8622,0.0396,0.0000,6.9763,9.8622,0.0110,0.0000,0.1423,0.0097
lexical-core,without_native,293438,2907,123,2907,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
libsecp256k1,without_native,44593959,8238,2115,8238,620,2,14,14,0.0014,0.0196,0.0000,0.0000,0.0193,0.0196,0.0000,0.0000,0.0019,0.0001
log,without_native,5762107,3947,175,3947,65536,16,196608,196608,1.1374,0.0000,1.1494,0.0000,0.3882,0.0000,1.1323,0.0000,0.8565,12.4972
loom,without_native,246588394,842909,11523,841144,12334201,94995,2921975,441043,5.0019,11.1130,15.0933,1.3793,11.1179,11.1130,4.0436,1.4414,7.7733,3.4513
matrixmultiply,without_native,1081284008,23984,323,23953,149045692,8906,337012380,1045008,13.7841,24.1686,51.3437,21.4458,36.6397,24.1686,50.2182,10.6437,21.5463,4.7691
memchr,without_native,10594084256,275901901,757103,275901901,2460343329,90452030,416097574,0,23.2237,32.6951,5.1719,0.0000,32.6944,32.6951,0.3622,0.0000,32.6317,0.8754
memmap2,without_native,135505,961,178,961,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
metrics,without_native,1930402,14705,1755,14689,109604,350,4436,1506,5.6778,2.1292,1.9455,0.0000,2.1264,2.1292,2.8729,0.0000,2.2360,2.1745
miette,without_native,136827336,911492,29576,903705,9713088,6982,208907,151432,7.0988,0.5033,13.5953,0.0000,0.7419,0.5033,9.0034,0.0000,2.0392,0.5199
msgpack-rust,without_native,6765400,8829,657,8793,65832,18,196616,196616,0.9731,0.0252,1.0417,0.0000,0.1898,0.0252,0.8644,0.0000,0.5143,12.4928
native-tls,without_native,6405489,6121,1552,6065,69964,76,1442054,1441806,1.0923,0.9569,1.1420,0.0000,0.9905,0.9569,1.0565,0.0000,0.9449,12.4802
ndarray,without_native,610333044,61944,16165,61674,493964768,16217,42509918,22666384,80.9336,13.6222,63.7747,82.1782,20.7620,13.6222,87.8585,72.4472,76.3724,0.7198
nom,without_native,43877988,99968,21824,99967,7456,26,222,132,0.0170,0.0214,0.0209,0.0000,0.0213,0.0214,0.0047,0.0000,0.0125,0.0032
nu-ansi-term,without_native,6319983,9042,926,9042,65536,16,196608,196608,1.0370,0.0000,1.0907,0.0000,0.1605,0.0000,1.0233,0.0000,0.5369,12.4973
num-bigint,without_native,188067342,7796363,143591,7796271,65536,16,8060928,8060928,0.0348,0.0000,0.3571,0.0000,0.0002,0.0000,0.2863,0.0000,0.0012,12.4984
ordered-float,without_native,1265273,4321,463,4285,294944,2,40000,60000,23.3107,0.0000,0.0000,100.0000,0.0418,0.0000,0.0000,100.0000,9.6909,3.4302
ordered-multimap,without_native,578627,2056,484,2038,26592,102,411,390,4.5957,4.1030,0.0000,0.0000,4.0157,4.1030,0.0000,0.0000,2.6653,1.0480
os_info,without_native,5877184,5127,505,5127,65536,16,196608,196608,1.1151,0.0000,1.1519,0.0000,0.2841,0.0000,1.1027,0.0000,0.7414,12.4973
ouroboros,without_native,5648170,3083,74,3083,65536,16,196608,196608,1.1603,0.0000,1.1730,0.0000,0.5068,0.0000,1.1615,0.0000,0.9545,12.4972
parity-scale-codec,without_native,612049853,3154668,14550,3154544,143104,356,337416,336496,0.0234,0.0103,1.4053,0.0000,0.0112,0.0103,0.7507,0.0000,0.0024,0.1683
parking_lot,without_native,48655493,13535,1460,13370,120320,30,50204192,20207894,0.2473,0.1522,1.6985,0.0000,0.2001,0.1522,1.2256,0.0000,0.1338,4.1175
petgraph,without_native,13943372,93022,6372,92148,875044,1831,126164,119994,6.2757,1.7755,7.2131,0.0000,1.8422,1.7755,7.1222,0.0000,2.3888,1.5339
pin-project-lite,without_native,22410368,254817,11974,254772,71216,28,196776,196776,0.3178,0.0045,1.4572,0.0000,0.0105,0.0045,1.0760,0.0000,0.0384,12.4192
polling,without_native,1879814,14087,657,14080,3012,6,110,2,0.1602,0.0346,0.3559,0.0000,0.0407,0.0346,0.1071,0.0000,0.0463,0.0638
portable-atomic,without_native,538965664,3495055,3678,3495055,209,14,0,14,0.0000,0.0004,0.0000,0.0000,0.0004,0.0004,0.0000,0.0000,0.0003,0.0000
postcard,without_native,390816,3357,226,3357,223,26,106,0,0.0571,0.7399,0.0000,0.0000,0.7256,0.7399,0.0000,0.0000,0.6279,0.4359
pulldown-cmark,without_native,26337868,41802,9697,41802,138780,249,4472,919,0.5269,0.5028,0.1688,0.0000,0.4835,0.5028,0.2344,0.0000,0.3476,0.6363
rand,without_native,2787464,49849,788,49831,12912,19,2922,4383,0.4632,0.0317,1.4286,0.0000,0.0375,0.0317,0.9945,0.0000,0.0809,0.4885
rayon-core,without_native,58255336,113442,6998,95991,19576288,18070,5706461,10469090,33.6043,8.0830,53.7712,0.0000,15.0125,8.0830,27.4902,0.0000,18.0877,2.4719
rgb,without_native,1564003,13281,826,13281,68,1,2,2,0.0043,0.0072,0.0000,0.0000,0.0071,0.0072,0.0000,0.0000,0.0062,0.3192
ring,without_native,103231892,1189149,10499,1189131,38960,244,264,0,0.0377,0.0204,0.0000,0.0000,0.0203,0.0204,0.0000,0.0000,0.0182,0.0036
rmp,without_native,6487098,5975,954,5954,65536,16,196608,196608,1.0103,0.0000,1.1396,0.0000,0.2309,0.0000,0.9741,0.0000,0.5808,12.3373
ron,without_native,6006982,50561,4930,50537,19140,125,487,532,0.3186,0.2273,0.1064,0.0000,0.2253,0.2273,0.0324,0.0000,0.1979,1.5562
rust-openssl,without_native,2792519,10505,2459,10447,16816,187,505,209,0.6022,1.4737,0.0000,0.0000,1.4425,1.4737,0.0000,0.0000,0.9462,0.0021
