crate,variant,total_functions_defined,unsafe_functions_defined,total_functions_executed,unsafe_functions_executed,distinctive_pct,total_function_calls,unsafe_function_calls,cumulative_pct
aho-corasick,without_native,10342,566,8134,538,6.6142,5110808431,239642089,4.6889
arbitrary,without_native,3182,288,2350,238,10.1277,809801076,8500795,1.0497
arc-swap,without_native,10080,564,5993,449,7.4921,5632840473,295138343,5.2396
arrayvec,without_native,3291,465,2156,417,19.3414,113248531,2249921,1.9867
async-lock,without_native,42161,1959,16545,1019,6.1590,50805920,2414576,4.7525
async-std,without_native,260178,30061,40788,3737,9.1620,100653356,2790134,2.7720
async-task,without_native,35156,4185,11506,1458,12.6716,7601565,2519,0.0331
bimap,without_native,7083,546,4686,483,10.3073,135351,9774,7.2212
borsh-rs,without_native,9092,318,6247,312,4.9944,12175273,5219,0.0429
brotli-decompressor,without_native,8964,6,4680,6,0.1282,1293378820,6,0.0000
bstr,without_native,8837,304,4224,149,3.5275,142932891,19734274,13.8067
bytemuck,without_native,2692,212,1366,212,15.5198,8528,1030,12.0779
byteorder,without_native,13335,126,8496,126,1.4831,11148594,242231,2.1727
bytes,without_native,3626,266,1397,80,5.7266,1450961,313293,21.5921
cc-rs,without_native,236146,4572,92875,1352,1.4557,3304159,109871,3.3252
chrono,without_native,11053,5,6655,3,0.0451,318778711,5,0.0000
clru,without_native,3958,204,2718,188,6.9169,3229915,408904,12.6599
colored,without_native,6522,55,2557,22,0.8604,37049,255,0.6883
combine,without_native,28474,242,15024,162,1.0783,109482,690,0.6302
cpp_demangle,without_native,24372,1,9922,1,0.0101,3356729998,1,0.0000
cssparser,without_native,17750,672,6922,238,3.4383,28519597,8568407,30.0439
curl,without_native,112086,6714,15797,1070,6.7734,14584476,301553,2.0676
dashmap,without_native,32054,5294,17399,3584,20.5989,1206330,261601,21.6857
deranged,without_native,5718,658,3192,652,20.4261,112160,25400,22.6462
dlv-list,without_native,2080,64,1588,40,2.5189,24196,372,1.5374
ego-tree,without_native,4841,101,3209,101,3.1474,29227,1949,6.6685
encoding_rs,without_native,9159,1129,4037,333,8.2487,2173461837,15832555,0.7284
filetime,without_native,742,20,380,12,3.1579,2908,192,6.6025
fixedbitset,without_native,2139,39,1799,39,2.1679,14989390,970310,6.4733
flate2,without_native,13785,13,6934,10,0.1442,959533120,6403,0.0007
fragile,without_native,18278,992,8800,606,6.8864,43016,3625,8.4271
fs4,without_native,776,10,546,10,1.8315,2570,142,5.5253
getrandom,without_native,3550,136,1680,52,3.0952,1979240,32544,1.6443
gimli,without_native,30948,726,18062,560,3.1004,232971060,5266371,2.2605
git2,without_native,84015,13718,13819,1760,12.7361,201245,14884,7.3960
h2,without_native,7084,74,5536,60,1.0838,2358784315,47791365,2.0261
hashbrown,without_native,17983,3485,12447,3231,25.9581,2793446641,345421198,12.3654
hashlink,without_native,5425,1051,3818,936,24.5155,482524,88592,18.3601
headers,without_native,11734,153,5520,62,1.1232,107540,924,0.8592
http,without_native,29475,1742,10089,576,5.7092,756271304,36084859,4.7714
http-body,without_native,4164,39,2016,33,1.6369,15834,303,1.9136
httparse,without_native,5463,270,4130,224,5.4237,6620607134,413614766,6.2474
imgref,without_native,1768,172,1338,166,12.4066,35141084,617571,1.7574
indexmap,without_native,67466,4018,41033,3300,8.0423,346224427,42155935,12.1759
iri-string,without_native,31400,344,12567,56,0.4456,13907245,361,0.0026
jni,without_native,11524,457,2642,34,1.2869,38137,169,0.4431
jpeg-decoder,without_native,49540,828,18496,302,1.6328,23004653300,6271204,0.0273
lexical-core,without_native,210,24,96,12,12.5000,129,24,18.6047
libsecp256k1,without_native,6190,236,3217,160,4.9736,3399469,7700,0.2265
log,without_native,1160,13,560,1,0.1786,12055188,1,0.0000
loom,without_native,969848,87262,177729,15744,8.8584,1041152447,16676515,1.6017
matrixmultiply,without_native,1808,334,1156,186,16.0900,552554662,106375538,19.2516
memchr,without_native,4909,778,3167,743,23.4607,32711290250,5867711545,17.9379
memmap2,without_native,976,86,746,86,11.5282,228657,604,0.2642
metrics,without_native,8390,309,3612,225,6.2292,1737358,306064,17.6166
miette,without_native,38256,2302,8756,550,6.2814,309494,1532,0.4950
msgpack-rust,without_native,6888,1,3932,1,0.0254,12099954,1,0.0000
native-tls,without_native,9267,298,3995,151,3.7797,6235334,10101,0.1620
ndarray,without_native,129683,19838,64399,10298,15.9909,7844066335,916092422,11.6788
nom,without_native,34086,396,20936,294,1.4043,1450469,3260,0.2248
nu-ansi-term,without_native,12678,1,5291,1,0.0189,12061236,1,0.0000
num-bigint,without_native,26376,39,11308,9,0.0796,1202431096,1873,0.0002
ordered-float,without_native,4323,72,2706,36,1.3304,3932956,422317,10.7379
ordered-multimap,without_native,4392,429,3303,348,10.5359,128763,12509,9.7147
