crate,variant,total_functions_defined,unsafe_functions_defined,total_functions_executed,unsafe_functions_executed,distinctive_pct,total_function_calls,unsafe_function_calls,cumulative_pct
aho-corasick,without_native,5495,447,4145,307,7.4065,2556585893,120894307,4.7287
arbitrary,without_native,3206,146,1788,119,6.6555,450943426,4252090,0.9429
arc-swap,without_native,18165,590,3689,262,7.1022,3060636754,164762431,5.3833
arrayvec,without_native,2917,270,1399,240,17.1551,56625674,1125086,1.9869
async-lock,without_native,26452,1085,8669,567,6.5405,26703432,1212806,4.5418
async-std,without_native,337316,21413,43992,3026,6.8785,113171857,2089205,1.8460
async-task,without_native,19787,2099,6101,766,12.5553,7579058,1360,0.0179
bimap,without_native,4714,415,2016,215,10.6647,54154,4088,7.5488
borsh-rs,without_native,13339,389,4295,172,4.0047,10222594,4337,0.0424
brotli-decompressor,without_native,4482,3,2340,3,0.1282,646689410,3,0.0000
bstr,without_native,11279,820,3314,167,5.0392,253992628,10014329,3.9428
bytemuck,without_native,1349,108,685,108,15.7664,4266,517,12.1191
byteorder,without_native,8766,165,4469,98,2.1929,23058464,1692630,7.3406
bytes,without_native,3626,266,1397,80,5.7266,1450466,313238,21.5957
cc-rs,without_native,134201,2597,46883,676,1.4419,1693241,54957,3.2457
chrono,without_native,6143,3,3342,2,0.0598,162073053,3,0.0000
clru,without_native,1979,102,1359,94,6.9169,1613797,204445,12.6686
colored,without_native,14260,350,4707,127,2.6981,1817672,66890,3.6800
combine,without_native,113734,4575,19826,471,2.3757,214089113,3592044,1.6778
cpp_demangle,without_native,12874,1,4975,1,0.0201,1682396475,1,0.0000
cssparser,without_native,11331,608,3668,136,3.7077,14520652,4289490,29.5406
curl,without_native,72723,7140,9540,575,6.0273,6282372,339296,5.4008
dashmap,without_native,23363,3299,10043,1991,19.8248,1163163,168624,14.4970
deranged,without_native,10880,594,3152,424,13.4518,299012,15335,5.1286
dlv-list,without_native,1042,33,796,21,2.6382,12108,195,1.6105
ego-tree,without_native,3327,54,1800,54,3.0000,16932,1023,6.0418
encoding_rs,without_native,4582,567,2019,167,8.2714,1086736775,7922134,0.7290
filetime,without_native,2196,47,279,7,2.5090,2654,102,3.8433
fixedbitset,without_native,1070,20,900,20,2.2222,7494712,485172,6.4735
flate2,without_native,7225,241,2610,109,4.1762,906748960,47231642,5.2089
fragile,without_native,9691,529,4414,303,6.8645,21786,1812,8.3173
fs4,without_native,31166,2481,6911,455,6.5837,479830,19893,4.1458
getrandom,without_native,1781,68,840,26,3.0952,989642,16271,1.6441
gimli,without_native,15767,370,9172,283,3.0855,116636010,2672775,2.2916
git2,without_native,101672,9588,8121,938,11.5503,165214,7734,4.6812
h2,without_native,10433,428,3383,89,2.6308,3023504527,212828107,7.0391
hashbrown,without_native,9568,1832,6557,1704,25.9875,1390280353,172266110,12.3907
hashlink,without_native,4718,836,2560,667,26.0547,245055,45604,18.6097
headers,without_native,14483,793,3245,63,1.9414,74912,1294,1.7274
http,without_native,34546,1953,5708,372,6.5172,588656009,44203110,7.5092
http-body,without_native,5048,388,866,34,3.9261,9453,283,2.9938
httparse,without_native,2724,134,2060,111,5.3883,3310303573,206807383,6.2474
imgref,without_native,884,86,669,83,12.4066,17570532,308785,1.7574
indexmap,without_native,36191,2109,20709,1675,8.0883,214471418,21693769,10.1150
iri-string,without_native,20788,2101,7633,774,10.1402,7609294,637882,8.3829
jni,without_native,184848,6316,54023,1685,3.1190,1175775639,10746459,0.9140
jpeg-decoder,without_native,36400,1119,12206,412,3.3754,12018127568,7365777,0.0613
lexical-core,without_native,142,10,32,4,12.5000,43,8,18.6047
libsecp256k1,without_native,10591,646,3094,171,5.5268,20313344,3623837,17.8397
log,without_native,735,11,339,4,1.1799,12050650,8,0.0001
loom,without_native,1476070,64553,116622,9930,8.5147,531903874,11187433,2.1033
matrixmultiply,without_native,6685,896,1678,228,13.5876,2245717202,391129690,17.4167
memchr,without_native,6764,791,3280,744,22.6829,32724724922,5868522412,17.9330
memmap2,without_native,2327,82,484,46,9.5041,117466,329,0.2801
metrics,without_native,20348,449,5831,188,3.2241,1809778,181125,10.0081
miette,without_native,516800,15637,36735,1475,4.0152,1424720956,6249502,0.4386
