crate,variant,repetition,logical_bins,total_instructions,unsafe_instructions,unsafe_instruction_pct
aho-corasick,without_native,rep1,1,152717527793,7091192267,4.6433
aho-corasick,with_native,rep1,1,152717530874,35907871642,23.5126
arbitrary,without_native,rep1,3,27131828186,436315787,1.6081
arbitrary,with_native,rep1,3,27167786538,4749086969,17.4806
arc-swap,without_native,rep1,3,213220881657,4261420530,1.9986
arc-swap,with_native,rep1,3,218869789597,50438705476,23.0451
arrayvec,without_native,rep1,4,4767176591,233654875,4.9013
arrayvec,with_native,rep1,4,4767176591,1537445779,32.2507
async-lock,without_native,rep1,23,1323272609,6592123,0.4982
async-lock,with_native,rep1,23,1333339082,204299838,15.3224
async-std,without_native,rep1,26,3570089557,157886535,4.4225
async-std,with_native,rep1,26,3731292032,796880294,21.3567
async-task,without_native,rep1,13,359035643,46305777,12.8973
async-task,with_native,rep1,13,359035623,92167055,25.6707
bimap,without_native,rep1,2,5209224,425844,8.1748
bimap,with_native,rep1,2,5213731,1747013,33.5079
borsh-rs,without_native,rep1,9,418129628,179275,0.0429
borsh-rs,with_native,rep1,9,418129993,99854711,23.8813
brotli-decompressor,without_native,rep1,4,71859712079,11641861,0.0162
brotli-decompressor,with_native,rep1,4,71859715579,8854937193,12.3225
bstr,without_native,rep1,5,6454228719,2082282968,32.2623
bstr,with_native,rep1,5,6455792600,2455146206,38.0301
bytemuck,without_native,rep1,13,268440,8293,3.0893
bytemuck,with_native,rep1,13,268440,41479,15.4519
byteorder,without_native,rep1,2,295041466,1812244,0.6142
byteorder,with_native,rep1,2,294459004,70667439,23.9991
bytes,without_native,rep1,11,47825398,5618266,11.7475
bytes,with_native,rep1,11,49445254,15814282,31.9834
cc-rs,without_native,rep1,20,137928979,5177767,3.7539
cc-rs,with_native,rep1,20,137899564,38936836,28.2356
chrono,without_native,rep1,5,13519969409,198863227,1.4709
chrono,with_native,rep1,5,13519857953,1892377597,13.9970
clru,without_native,rep1,1,128045046,18808072,14.6886
clru,with_native,rep1,1,128043792,33886927,26.4651
colored,without_native,rep1,5,3059960,26137,0.8542
colored,with_native,rep1,5,3080686,475852,15.4463
combine,without_native,rep1,12,3047237,12099,0.3970
combine,with_native,rep1,12,3047237,444673,14.5927
cpp_demangle,without_native,rep1,6,149255912282,299756825,0.2008
cpp_demangle,with_native,rep1,6,149255912282,25548296293,17.1171
cssparser,without_native,rep1,13,1644666386,377533827,22.9550
cssparser,with_native,rep1,13,1644671893,395685517,24.0586
curl,without_native,rep1,35,570320735,10726479,1.8808
curl,with_native,rep1,35,439884345,110029495,25.0133
dashmap,without_native,rep1,18,39083007,5988739,15.3231
dashmap,with_native,rep1,18,39087443,12514091,32.0156
deranged,without_native,rep1,3,6706167,285469,4.2568
deranged,with_native,rep1,3,6706304,726234,10.8291
dlv-list,without_native,rep1,1,1040884,16602,1.5950
dlv-list,with_native,rep1,1,1040884,136474,13.1114
ego-tree,without_native,rep1,9,1491545,58188,3.9012
ego-tree,with_native,rep1,9,1491545,253032,16.9644
encoding_rs,without_native,rep1,5,78821134451,1363268806,1.7296
encoding_rs,with_native,rep1,5,78821134451,21431766666,27.1904
filetime,without_native,rep1,2,81812,2186,2.6720
filetime,with_native,rep1,2,81812,16720,20.4371
fixedbitset,without_native,rep1,2,649235086,20953285,3.2274
fixedbitset,with_native,rep1,2,649235086,27592133,4.2499
flate2,without_native,rep1,6,22007771775,298346627,1.3556
flate2,with_native,rep1,6,22007136394,6347852196,28.8445
fragile,without_native,rep1,10,1558139,139750,8.9690
fragile,with_native,rep1,10,1557896,442458,28.4010
fs4,without_native,rep1,1,78821,5189,6.5833
fs4,with_native,rep1,1,78821,17425,22.1071
getrandom,without_native,rep1,28,50461913,151702,0.3006
getrandom,with_native,rep1,28,50454023,15278972,30.2830
gimli,without_native,rep1,8,10476379320,221149203,2.1109
gimli,with_native,rep1,8,10475020723,1443947420,13.7847
git2,without_native,rep1,11,6189377,303851,4.9092
git2,with_native,rep1,11,6189836,1734857,28.0275
h2,without_native,rep1,1,76721620557,733856011,0.9565
h2,with_native,rep1,1,76575297629,9842344540,12.8532
hashbrown,without_native,rep1,10,72912410634,11569303290,15.8674
hashbrown,with_native,rep1,10,72865525537,24465833072,33.5767
hashlink,without_native,rep1,5,15131931,4464624,29.5047
hashlink,with_native,rep1,5,15312351,6462587,42.2051
headers,without_native,rep1,6,3833299,11826,0.3085
headers,with_native,rep1,6,3833299,846282,22.0771
http,without_native,rep1,9,31620911096,803933176,2.5424
http,with_native,rep1,9,30577086633,6136611786,20.0693
http-body,without_native,rep1,7,591285,3231,0.5464
http-body,with_native,rep1,7,591285,136371,23.0635
httparse,without_native,rep1,5,346198697696,4603659807,1.3298
httparse,with_native,rep1,5,346198697974,79733404305,23.0311
imgref,without_native,rep1,1,809510928,17204165,2.1253
imgref,with_native,rep1,1,809510385,192756545,23.8115
indexmap,without_native,rep1,33,13232155319,1704703921,12.8830
indexmap,with_native,rep1,33,13152817978,3371701723,25.6348
iri-string,without_native,rep1,16,534456032,7278655,1.3619
iri-string,with_native,rep1,16,534456032,84297765,15.7726
jni,without_native,rep1,69,982156,2778,0.2828
jni,with_native,rep1,69,982156,112214,11.4253
jpeg-decoder,without_native,rep1,8,545038274954,4393292680,0.8061
jpeg-decoder,with_native,rep1,8,545424222350,177080748332,32.4666
lexical-core,without_native,rep1,5,5319,516,9.7011
lexical-core,with_native,rep1,5,5283,564,10.6758
libsecp256k1,without_native,rep1,8,107522658,383665,0.3568
libsecp256k1,with_native,rep1,8,107522551,9718852,9.0389
log,without_native,rep1,4,534291096,7276181,1.3618
log,with_native,rep1,4,534291096,90532159,16.9444
loom,without_native,rep1,63,35934733666,392768193,1.0930
loom,with_native,rep1,63,35934518098,3795458531,10.5622
matrixmultiply,without_native,rep1,2,14329466416,4199035655,29.3035
matrixmultiply,with_native,rep1,2,14329466416,6750667805,47.1104
memchr,without_native,rep1,1,988583068241,151580821854,15.3331
memchr,with_native,rep1,1,988560824012,273374487806,27.6538
memmap2,without_native,rep1,1,5424625,8152,0.1503
memmap2,with_native,rep1,1,5424600,708548,13.0618
metrics,without_native,rep1,6,50435722,1066029,2.1136
metrics,with_native,rep1,6,50435767,5920760,11.7392
miette,without_native,rep1,26,11231973,40594,0.3614
miette,with_native,rep1,26,11234995,3523954,31.3659
msgpack-rust,without_native,rep1,5,534291103,7276181,1.3618
msgpack-rust,with_native,rep1,5,534287453,90751288,16.9855
native-tls,without_native,rep1,4,302371566,53658987,17.7460
