crate,variant,repetition,logical_bins,total_instructions,unsafe_instructions,unsafe_instruction_pct
aho-corasick,without_native,rep1,1,76520108300,3693807650,4.8272
aho-corasick,with_native,rep1,1,76520115664,18102744201,23.6575
aho-corasick,without_native,rep2,1,76520109604,3693807873,4.8272
aho-corasick,with_native,rep2,1,76520104191,18102740518,23.6575
arbitrary,without_native,rep1,4,14609572700,218235833,1.4938
arbitrary,with_native,rep1,4,14611464493,2390513166,16.3605
arbitrary,without_native,rep2,4,14611306404,218452861,1.4951
arbitrary,with_native,rep2,4,14611957991,2390516224,16.3600
arc-swap,without_native,rep1,3,112471191891,2557560744,2.2740
arc-swap,with_native,rep1,3,114716849886,27236218397,23.7421
arc-swap,without_native,rep2,3,110243560090,2570926863,2.3320
arc-swap,with_native,rep2,3,114705832282,27242606966,23.7500
arrayvec,without_native,rep1,4,2389697394,122883681,5.1422
arrayvec,with_native,rep1,4,2389697394,774785829,32.4219
arrayvec,without_native,rep2,4,2389697394,122883681,5.1422
arrayvec,with_native,rep2,4,2389697394,774785829,32.4219
async-lock,without_native,rep1,23,697763206,3801669,0.5448
async-lock,with_native,rep1,23,700900444,105907164,15.1102
async-lock,without_native,rep2,23,697838236,3790210,0.5431
async-lock,with_native,rep2,23,700804218,105716290,15.0850
async-std,without_native,rep1,26,4047415769,108792644,2.6880
async-std,with_native,rep1,26,3975942091,595959549,14.9891
async-std,without_native,rep2,26,4015645111,107060714,2.6661
async-std,with_native,rep2,26,3988210564,600300952,15.0519
async-task,without_native,rep1,13,358231040,46197017,12.8959
async-task,with_native,rep1,13,358231050,91888945,25.6507
async-task,without_native,rep2,13,358231046,46197017,12.8959
async-task,with_native,rep2,13,358231042,91888945,25.6507
bimap,without_native,rep1,2,2040844,175016,8.5757
bimap,with_native,rep1,2,2041617,678385,33.2278
bimap,without_native,rep2,2,2042990,175615,8.5960
bimap,with_native,rep2,2,2043891,678771,33.2097
borsh-rs,without_native,rep1,9,364948095,113989,0.0312
borsh-rs,with_native,rep1,9,365027918,81406267,22.3014
borsh-rs,without_native,rep2,9,364972782,114011,0.0312
borsh-rs,with_native,rep2,9,364967191,81392599,22.3013
brotli-decompressor,without_native,rep1,4,35930031137,5997078,0.0167
brotli-decompressor,with_native,rep1,4,35930032901,4427644744,12.3230
brotli-decompressor,without_native,rep2,4,35930031137,5997078,0.0167
brotli-decompressor,with_native,rep2,4,35930033125,4427644744,12.3230
bstr,without_native,rep1,5,9761188546,1100889375,11.2782
bstr,with_native,rep1,5,9660753197,2355921213,24.3865
bstr,without_native,rep2,5,9760642192,1100891774,11.2789
