crate,variant,total_instructions,unsafe_instructions,unsafe_instruction_pct
aho-corasick,without_native,76520108300,3693807650,4.8272
arbitrary,without_native,14609572700,218235833,1.4938
arc-swap,without_native,112471191891,2557560744,2.2740
arrayvec,without_native,2389697394,122883681,5.1422
async-lock,without_native,697763206,3801669,0.5448
async-std,without_native,4047415769,108792644,2.6880
async-task,without_native,358231040,46197017,12.8959
bimap,without_native,2040844,175016,8.5757
borsh-rs,without_native,364948095,113989,0.0312
brotli-decompressor,without_native,35930031137,5997078,0.0167
bstr,without_native,9761188546,1100889375,11.2782
bytemuck,without_native,135316,4615,3.4105
byteorder,without_native,460743271,26240397,5.6952
bytes,without_native,47797678,5609961,11.7369
cc-rs,without_native,70063431,2589681,3.6962
chrono,without_native,6936344039,198863209,2.8670
clru,without_native,63992964,9400027,14.6892
colored,without_native,62389850,801996,1.2855
combine,without_native,4874106041,155858864,3.1977
cpp_demangle,without_native,74886702148,299756825,0.4003
cssparser,without_native,843514484,195968485,23.2324
curl,without_native,245215544,19566146,7.9792
dashmap,without_native,38853634,3943242,10.1490
deranged,without_native,10124311,183101,1.8085
dlv-list,without_native,520524,8394,1.6126
ego-tree,without_native,872856,31412,3.5988
encoding_rs,without_native,39420574909,691119938,1.7532
filetime,without_native,87096,1173,1.3468
fixedbitset,without_native,325394702,11221096,3.4485
flate2,without_native,17743487229,1079349101,6.0831
fragile,without_native,786132,70144,8.9227
fs4,without_native,18174420,631115,3.4725
getrandom,without_native,25241311,87723,0.3475
gimli,without_native,5246914381,115077438,2.1932
git2,without_native,5192915,159475,3.0710
h2,without_native,75328598809,3913156772,5.1948
hashbrown,without_native,36577383896,5998498575,16.3995
hashlink,without_native,7968001,2446676,30.7063
headers,without_native,2733425,32066,1.1731
http,without_native,22084359751,969425917,4.3896
http-body,without_native,326835,5664,1.7330
httparse,without_native,173361200625,2341499430,1.3506
imgref,without_native,404924563,8771430,2.1662
indexmap,without_native,7897314369,932224071,11.8043
iri-string,without_native,303660033,22172949,7.3019
jni,without_native,35224036266,3497842243,9.9303
jpeg-decoder,without_native,291455484373,2412360481,0.8277
lexical-core,without_native,1819,230,12.6443
libsecp256k1,without_native,3492644575,42870037,1.2274
log,without_native,534140117,7276242,1.3622
loom,without_native,18323400267,236573111,1.2911
matrixmultiply,without_native,61499050701,21499497564,34.9591
memchr,without_native,988921030696,151584922755,15.3283
memmap2,without_native,2831585,4405,0.1556
metrics,without_native,54925711,1390268,2.5312
miette,without_native,41169319652,193921881,0.4710
msgpack-rust,without_native,530283835,7279601,1.3728
native-tls,without_native,666750203,53466072,8.0189
ndarray,without_native,98584353745,21314542405,21.6206
nom,without_native,2226960331,30589954,1.3736
nu-ansi-term,without_native,531820842,7276181,1.3682
num-bigint,without_native,22226934812,298299101,1.3421
ordered-float,without_native,70535324,7438747,10.5461
ordered-multimap,without_native,2175615,218348,10.0362
os_info,without_native,529908084,7276181,1.3731
ouroboros,without_native,534291627,7276241,1.3618
parity-scale-codec,without_native,56376357186,918059944,1.6284
parking_lot,without_native,34980266175,4509406796,12.8913
