crate,variant,unsafe_instructions,unsafe_load,unsafe_load_pct,unsafe_store,unsafe_store_pct,unsafe_ptr_arith,unsafe_ptr_arith_pct,unsafe_cast,unsafe_cast_pct,unsafe_call,unsafe_call_pct,unsafe_others,unsafe_others_pct
aho-corasick,without_native,7091192267,911971310,12.8606,1927009403,27.1747,565079837,7.9688,46240928,0.6521,1600551022,22.5710,2040339767,28.7729
arbitrary,without_native,436315787,42507904,9.7425,113332434,25.9749,22676658,5.1973,1248,0.0003,87822052,20.1281,169975491,38.9570
arc-swap,without_native,4261420530,162276536,3.8080,1077413437,25.2830,67697797,1.5886,39418314,0.9250,628559973,14.7500,2286054473,53.6454
arrayvec,without_native,233654875,8898721,3.8085,66410446,28.4225,13223608,5.6595,10,0.0000,25458042,10.8956,119664048,51.2140
async-lock,without_native,6592123,404996,6.1436,1650857,25.0429,468238,7.1030,28020,0.4251,748544,11.3551,3291468,49.9303
async-std,without_native,157883723,17031440,10.7873,43368430,27.4686,19262300,12.2003,362629,0.2297,14639748,9.2725,63219176,40.0416
async-task,without_native,46305777,5006626,10.8121,15002919,32.3997,2519090,5.4401,510,0.0011,12480645,26.9527,11295987,24.3943
bimap,without_native,425844,43445,10.2021,117157,27.5117,34221,8.0360,1182,0.2776,66831,15.6938,163008,38.2788
borsh-rs,without_native,179275,16935,9.4464,48960,27.3100,14582,8.1339,376,0.2097,29179,16.2761,69243,38.6239
brotli-decompressor,without_native,11641861,2113540,18.1547,1425858,12.2477,376,0.0032,704516,6.0516,2465823,21.1807,4931748,42.3622
bstr,without_native,2082282968,384046519,18.4435,593233294,28.4896,197020094,9.4617,9590612,0.4606,145251785,6.9756,753140664,36.1690
bytemuck,without_native,8293,352,4.2445,2179,26.2752,542,6.5356,92,1.1094,1558,18.7869,3570,43.0484
byteorder,without_native,1812244,20400,1.1257,679595,37.5002,72800,4.0171,0,0.0000,274800,15.1635,764649,42.1935
bytes,without_native,5618266,640054,11.3924,1186926,21.1262,557924,9.9305,21039,0.3745,319888,5.6937,2892435,51.4827
cc-rs,without_native,5177767,542509,10.4777,1435594,27.7261,435875,8.4182,7058,0.1363,746178,14.4112,2010553,38.8305
chrono,without_native,198863227,21499776,10.8113,64494252,32.4315,10750596,5.4060,16,0.0000,53751606,27.0294,48366981,24.3217
clru,without_native,18808072,2008300,10.6779,5358049,28.4880,1313938,6.9860,83816,0.4456,2761266,14.6813,7282703,38.7212
colored,without_native,8744,600,6.8618,1916,21.9122,1075,12.2941,30,0.3431,1978,22.6212,3145,35.9675
combine,without_native,12099,1506,12.4473,2782,22.9936,1390,11.4886,52,0.4298,1801,14.8855,4568,37.7552
cpp_demangle,without_native,299756825,32249648,10.7586,96741232,32.2732,16125856,5.3796,16,0.0000,82089668,27.3854,72550405,24.2031
cssparser,without_native,377533827,65774399,17.4221,92008416,24.3709,42807181,11.3386,65532,0.0174,39156063,10.3715,137722236,36.4794
curl,without_native,10726479,1270354,11.8432,2837299,26.4514,1046178,9.7532,3138,0.0293,1628258,15.1798,3941252,36.7432
dashmap,without_native,5988739,447702,7.4757,1802910,30.1050,435760,7.2763,11526,0.1925,803764,13.4213,2487077,41.5292
deranged,without_native,285469,14974,5.2454,67806,23.7525,1714,0.6004,8,0.0028,23968,8.3960,176999,62.0029
dlv-list,without_native,16602,1774,10.6855,4594,27.6714,1476,8.8905,14,0.0843,2540,15.2994,6204,37.3690
ego-tree,without_native,58188,2959,5.0852,8864,15.2334,3831,6.5838,0,0.0000,1387,2.3837,41147,70.7139
encoding_rs,without_native,1363268806,123883970,9.0873,171843888,12.6053,93141206,6.8322,972288,0.0713,56359142,4.1341,917068312,67.2698
filetime,without_native,2186,162,7.4108,772,35.3156,408,18.6642,0,0.0000,298,13.6322,546,24.9771
fixedbitset,without_native,20953285,2913521,13.9048,8720446,41.6185,1938247,9.2503,0,0.0000,1496717,7.1431,5884354,28.0832
flate2,without_native,298346627,32257751,10.8122,96762634,32.4330,16128856,5.4061,16,0.0000,80628965,27.0253,72568405,24.3235
fragile,without_native,139750,13554,9.6987,38219,27.3481,11412,8.1660,468,0.3349,22664,16.2175,53433,38.2347
fs4,without_native,5189,82,1.5803,1734,33.4168,190,3.6616,68,1.3105,575,11.0811,2540,48.9497
getrandom,without_native,151702,48080,31.6937,42584,28.0708,777,0.5122,0,0.0000,36335,23.9516,23926,15.7717
gimli,without_native,221149203,23710887,10.7217,64707542,29.2597,19994586,9.0412,35168,0.0159,26960640,12.1912,85740380,38.7704
git2,without_native,303851,23986,7.8940,88967,29.2798,29564,9.7298,1566,0.5154,53053,17.4602,106715,35.1208
h2,without_native,733856011,107697302,14.6755,213223114,29.0552,163087566,22.2234,0,0.0000,42799946,5.8322,207048083,28.2137
hashbrown,without_native,11555061856,1059443611,9.1687,3148534781,27.2481,674622203,5.8383,1264702,0.0109,2325746474,20.1275,4345450085,37.6065
hashlink,without_native,4464624,494352,11.0726,1352158,30.2860,292602,6.5538,12146,0.2720,559679,12.5359,1753687,39.2796
headers,without_native,11826,3026,25.5877,2118,17.9097,3642,30.7965,0,0.0000,1364,11.5339,1676,14.1722
http,without_native,803933176,92584514,11.5164,226251670,28.1431,68376776,8.5053,8374621,1.0417,117366644,14.5991,290978951,36.1944
http-body,without_native,3231,1116,34.5404,312,9.6565,1212,37.5116,0,0.0000,351,10.8635,240,7.4280
httparse,without_native,4603659807,431460654,9.3721,1467805137,31.8834,706476946,15.3460,5444,0.0001,481929634,10.4684,1515981992,32.9299
imgref,without_native,17204165,2542906,14.7808,3796534,22.0675,3811740,22.1559,76,0.0004,367004,2.1332,6685905,38.8621
indexmap,without_native,1704703921,174983937,10.2648,507844662,29.7908,120531828,7.0705,915047,0.0537,207822469,12.1911,692605978,40.6291
iri-string,without_native,7278655,786646,10.8076,2360728,32.4336,393710,5.4091,16,0.0002,1967354,27.0291,1770201,24.3204
jni,without_native,2778,236,8.4953,597,21.4903,300,10.7991,0,0.0000,516,18.5745,1129,40.6407
jpeg-decoder,without_native,4393292680,586478024,13.3494,915914736,20.8480,140036590,3.1875,18311036,0.4168,1882244240,42.8436,850308054,19.3547
lexical-core,without_native,516,42,8.1395,0,0.0000,42,8.1395,6,1.1628,0,0.0000,426,82.5581
libsecp256k1,without_native,383665,20091,5.2366,110584,28.8231,46068,12.0074,18,0.0047,92168,24.0230,114736,29.9053
log,without_native,7276181,786608,10.8107,2359792,32.4317,393376,5.4064,16,0.0002,1966784,27.0304,1769605,24.3205
loom,without_native,392768193,39753595,10.1214,122051842,31.0748,43352070,11.0376,2190180,0.5576,49873003,12.6978,135547503,34.5108
matrixmultiply,without_native,4199035655,961006074,22.8864,1305008788,31.0788,376100664,8.9568,14428,0.0003,958530528,22.8274,598375173,14.2503
memchr,without_native,151580821854,15007577660,9.9007,32521663413,21.4550,10810866461,7.1321,1944295895,1.2827,27817970802,18.3519,63478447623,41.8776
memmap2,without_native,8152,759,9.3106,1804,22.1295,979,12.0093,26,0.3189,1483,18.1919,3101,38.0397
metrics,without_native,1066029,11430,1.0722,55315,5.1889,16946,1.5896,68,0.0064,945802,88.7220,36468,3.4209
miette,without_native,40594,3722,9.1688,13008,32.0441,4075,10.0384,94,0.2316,5616,13.8346,14079,34.6825
msgpack-rust,without_native,7276181,786608,10.8107,2359792,32.4317,393376,5.4064,16,0.0002,1966784,27.0304,1769605,24.3205
native-tls,without_native,53658987,5789347,10.7891,17380714,32.3911,2902132,5.4085,550,0.0010,14456043,26.9406,13130201,24.4697
ndarray,without_native,16776384785,1328292247,7.9176,4587139570,27.3428,2383078040,14.2050,24716,0.0001,3023852998,18.0245,5453997214,32.5100
nom,without_native,120020,11068,9.2218,33984,28.3153,11426,9.5201,228,0.1900,19090,15.9057,44224,36.8472
nu-ansi-term,without_native,7276181,786608,10.8107,2359792,32.4317,393376,5.4064,16,0.0002,1966784,27.0304,1769605,24.3205
num-bigint,without_native,298302845,32249648,10.8110,96741232,32.4305,16125856,5.4059,16,0.0000,80635688,27.0315,72550405,24.3211
ordered-float,without_native,22320085,2476014,11.0932,6271683,28.0988,1570120,7.0346,6,0.0000,3085278,13.8229,8916984,39.9505
ordered-multimap,without_native,573021,52503,9.1625,160603,28.0274,44245,7.7214,897,0.1565,85365,14.8974,229408,40.0348
os_info,without_native,7276181,786608,10.8107,2359792,32.4317,393376,5.4064,16,0.0002,1966784,27.0304,1769605,24.3205
ouroboros,without_native,7276181,786608,10.8107,2359792,32.4317,393376,5.4064,16,0.0002,1966784,27.0304,1769605,24.3205
parity-scale-codec,without_native,669257803,4672313,0.6981,384455117,57.4450,25348266,3.7875,0,0.0000,78677061,11.7559,176105046,26.3135
parking_lot,without_native,7920354095,601820853,7.5984,2609373968,32.9452,615073442,7.7657,205515157,2.5948,941328896,11.8849,2947241779,37.2110
petgraph,without_native,36075088,3582922,9.9318,11024348,30.5594,2852918,7.9083,9688,0.0269,4463840,12.3737,14141372,39.1998
pin-project-lite,without_native,7276914,786666,10.8104,2359962,32.4308,393479,5.4072,16,0.0002,1966960,27.0301,1769831,24.3212
polling,without_native,910339,8967,0.9850,299712,32.9231,21341,2.3443,19070,2.0948,130802,14.3685,430447,47.2843
portable-atomic,without_native,322129000,47038604,14.6024,92631843,28.7561,8469248,2.6291,32,0.0000,89095279,27.6583,84893994,26.3540
postcard,without_native,94920,16174,17.0396,31792,33.4935,14258,15.0211,0,0.0000,19676,20.7290,13020,13.7168
pulldown-cmark,without_native,1328421,135725,10.2170,300417,22.6146,128383,9.6643,7991,0.6015,201165,15.1432,554740,41.7594
