crate,variant,unsafe_instructions,unsafe_load,unsafe_load_pct,unsafe_store,unsafe_store_pct,unsafe_ptr_arith,unsafe_ptr_arith_pct,unsafe_cast,unsafe_cast_pct,unsafe_call,unsafe_call_pct,unsafe_others,unsafe_others_pct
aho-corasick,without_native,3693807650,461037844,12.4814,965729139,26.1445,281554368,7.6223,23132710,0.6263,935470414,25.3254,1026883175,27.8001
arbitrary,without_native,218235833,21264107,9.7436,56686527,25.9749,11345099,5.1986,624,0.0003,43926343,20.1279,85013133,38.9547
arc-swap,without_native,2557560744,152352649,5.9570,638874772,24.9798,41605545,1.6268,20058734,0.7843,488933212,19.1172,1215735832,47.5350
arrayvec,without_native,122883681,4449335,3.6208,33205530,27.0219,6611855,5.3806,5,0.0000,18784513,15.2864,59832443,48.6903
async-lock,without_native,3801669,222046,5.8408,931364,24.4988,243293,6.3996,28035,0.7374,661813,17.4085,1715118,45.1149
async-std,without_native,108792644,10355502,9.5186,27821858,25.5733,12286598,11.2936,505969,0.4651,16837290,15.4765,40985427,37.6730
async-task,without_native,46197017,4994574,10.8115,14974143,32.4137,2505472,5.4234,340,0.0007,12471126,26.9955,11251362,24.3552
bimap,without_native,175016,17817,10.1802,48048,27.4535,13968,7.9810,478,0.2731,27517,15.7226,67188,38.3896
borsh-rs,without_native,113989,10545,9.2509,30187,26.4824,10279,9.0175,822,0.7211,19290,16.9227,42866,37.6054
brotli-decompressor,without_native,5997078,1056770,17.6214,712939,11.8881,192,0.0032,352258,5.8738,1409045,23.4955,2465874,41.1179
bstr,without_native,1100889375,192526728,17.4883,298222381,27.0892,98924394,8.9859,4795671,0.4356,127588523,11.5896,378831678,34.4114
bytemuck,without_native,4615,176,3.8137,1091,23.6403,271,5.8722,46,0.9967,1245,26.9772,1786,38.6999
byteorder,without_native,26240397,4329136,16.4980,5212054,19.8627,115924,0.4418,0,0.0000,9210959,35.1022,7372324,28.0953
bytes,without_native,5609961,639339,11.3965,1184506,21.1143,557264,9.9335,20874,0.3721,318568,5.6786,2889410,51.5050
